Symbol,Price,Day
KOZAL,"35,68",2025-11-17
GUBRF,328,2025-11-17
DSTKF,751,2025-11-17
TUPRS,"201,7",2025-11-17
ULKER,114,2025-11-17
MGROS,504,2025-11-17
AEFES,"14,48",2025-11-17
ASELS,"188,3",2025-11-17
EKGYO,"19,2",2025-11-17
KCHOL,"167,8",2025-11-17
SISE,"35,82",2025-11-17
PGSUS,204,2025-11-17
TOASO,"232,6",2025-11-17
PETKM,"16,8",2025-11-17
TTKOM,"55,4",2025-11-17
FROTO,"94,6",2025-11-17
TAVHL,"259,5",2025-11-17
YKBNK,"32,1",2025-11-17
GARAN,128,2025-11-17
SASA,"2,9",2025-11-17
AKBNK,"58,35",2025-11-17
ASTOR,"92,3",2025-11-17
BIMAS,540,2025-11-17
SAHOL,"76,3",2025-11-17
ENKAI,"73,8",2025-11-17
ISCTR,"12,24",2025-11-17
KRDMD,"24,22",2025-11-17
THYAO,"268,5",2025-11-17
TCELL,"93,1",2025-11-17
EREGL,24,2025-11-17
KOZAL,"33,76",2025-11-14
DSTKF,"749,5",2025-11-14
MGROS,507,2025-11-14
GUBRF,"314,25",2025-11-14
TUPRS,"199,2",2025-11-14
ULKER,"112,5",2025-11-14
TTKOM,"56,4",2025-11-14
SISE,"35,68",2025-11-14
AEFES,"14,23",2025-11-14
TOASO,"232,5",2025-11-14
GARAN,"129,2",2025-11-14
ENKAI,74,2025-11-14
PGSUS,204,2025-11-14
BIMAS,"544,5",2025-11-14
FROTO,"94,7",2025-11-14
AKBNK,"58,3",2025-11-14
PETKM,"16,74",2025-11-14
KCHOL,164,2025-11-14
ISCTR,"12,32",2025-11-14
YKBNK,"31,96",2025-11-14
EKGYO,"18,59",2025-11-14
SASA,"2,87",2025-11-14
TCELL,"93,15",2025-11-14
TAVHL,"254,5",2025-11-14
SAHOL,"75,2",2025-11-14
ASTOR,"90,3",2025-11-14
THYAO,269,2025-11-14
ASELS,176,2025-11-14
KRDMD,"23,82",2025-11-14
EREGL,"23,9",2025-11-14
KOZAL,"32,7",2025-11-13
